seq,no.1,table_name,table_comments,column_name,column_comments,DATA_TYPE,position,pk_col,column_id,col_tot
219,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,offside,오프사이드,integer,,,55,68
220,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,yellow_card,경고,integer,,,56,68
221,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,red_card,퇴장,integer,,,57,68
222,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,own_goal,자책골,integer,,,58,68
223,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,goal_conceded,실점,integer,,,59,68
224,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,goal_kick,골킥,integer,,,60,68
225,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,goal_kick_succeeded,골킥 중 패스 성공과 같이 기록된 경우 (=골킥 성공),integer,,,61,68
226,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,aerial_clearance,공중볼 처리 성공 + 공중볼 처리 실패,integer,,,62,68
227,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,aerial_clearance_succeeded,공중볼 처리 성공,integer,,,63,68
228,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,save_by_catching,캐칭 세이브,integer,,,64,68
229,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,save_by_punching,펀칭 세이브,integer,,,65,68
230,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,rating,각 선수의 Bepro 경기 평점 (10점 만점),DOUBLE PRECISION,,,66,68
231,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,play_time,각 선수의 경기 출전 시간 (밀리세컨드 단위),integer,,,67,68
232,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,68,68
233,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,team_id,팀 고유 ID,integer,1,team_id,1,6
234,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,event_period,이벤트가 입력된 시점의 전후반 정보,varchar(20),,,2,6
235,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,start_time,해당 이벤트들의 발생 시간 ,integer,,,3,6
236,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,end_time,해당 이벤트들의 종류 시간,integer,,,4,6
237,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,event_ids,발생 이벤트 고유 id,text,,,5,6
238,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,6,6
239,1,leagues, 리그 정보를 반환,,,,,,0,
240,2,seasons,시즌 정보를 반환,,,,,,0,
241,3,teams,팀 정보를 반환,,,,,,0,
242,4,players,선수 정보를 반환,,,,,,0,
243,5,matches,경기 정보를 반환,,,,,,0,
244,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,,,,,,0,
245,7,matches_formation,포메이션이 변경된 시점마다 선수들의 위치,,,,,,0,
246,8,matches_event_data,경기 도중 발생한 모든 개별 이벤트 데이터,,,,,,0,
247,9_1,matches_team_stats,팀 단위 집계 데이터,,,,,,0,
248,9_2,matches_player_stats,경기의 선수 단위 집계 데이터,,,,,,0,
249,10,matches_sequenfce_data,경기 도중 발생한 시퀀스,,,,,,0,
